Rank,Name,Tm,League,Year,Vote Pts,1st Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
8,Al Hrabosky,STL,NL,1975,66,0,20%,4,65,15,2,3,0,4,0,2,0.2,0.294,0.2,0.494,13,3,1.66,1.079,65,0,22,97.1,72,3,33,82
9,Tom Seaver,NYM,NL,1975,65,0,19%,8.2,37,95,7,17,0,5,0,8,0.179,0.25,0.189,0.439,22,9,2.38,1.088,36,36,0,280.1,217,11,88,243
1,Joe Morgan,CIN,NL,1976,311,19,93%,9.6,141,472,113,151,27,111,60,114,0.32,0.444,0.576,1.02,,,,,,,,,,,,
2,George Foster,CIN,NL,1976,221,5,66%,5.9,144,562,86,172,29,121,17,52,0.306,0.364,0.53,0.894,,,,,,,,,,,,
3,Mike Schmidt,PHI,NL,1976,179,0,53%,8,160,584,112,153,38,107,14,100,0.262,0.376,0.524,0.9,,,,,,,,,,,,
4,Pete Rose,CIN,NL,1976,131,0,39%,7,162,665,130,215,10,63,9,86,0.323,0.404,0.45,0.854,,,,,,,,,,,,
5,Garry Maddox,PHI,NL,1976,98,0,29%,6.4,146,531,75,175,6,68,29,42,0.33,0.377,0.456,0.833,,,,,,,,,,,,
6,Steve Garvey,LAD,NL,1976,51,0,15%,4.7,162,631,85,200,13,80,19,50,0.317,0.363,0.45,0.813,,,,,,,,,,,,
6,Bill Madlock,CHC,NL,1976,51,0,15%,4.3,142,514,68,174,15,84,15,56,0.339,0.412,0.5,0.912,,,,,,,,,,,,
8,Ken Griffey,CIN,NL,1976,49,0,15%,4.6,148,562,111,189,6,74,34,62,0.336,0.401,0.45,0.851,,,,,,,,,,,,
8,Greg Luzinski,PHI,NL,1976,49,0,15%,2.4,149,533,74,162,21,95,1,50,0.304,0.369,0.478,0.847,,,,,,,,,,,,
1,George Foster,CIN,NL,1977,291,15,87%,8.4,158,615,124,197,52,149,6,61,0.32,0.382,0.631,1.013,,,,,,,,,,,,
2,Greg Luzinski,PHI,NL,1977,255,9,76%,4.2,149,554,99,171,39,130,3,80,0.309,0.394,0.594,0.988,,,,,,,,,,,,
3,Dave Parker,PIT,NL,1977,156,0,46%,7.4,159,637,107,215,21,88,17,58,0.338,0.397,0.531,0.927,,,,,,,,,,,,
4,Reggie Smith,LAD,NL,1977,112,0,33%,6.1,148,488,104,150,32,87,7,104,0.307,0.427,0.576,1.003,,,,,,,,,,,,
5,Steve Carlton,PHI,NL,1977,100,0,30%,7,36,97,7,26,3,15,0,2,0.268,0.282,0.402,0.684,23,10,2.64,1.124,36,36,0,283,229,25,89,198
6,Steve Garvey,LAD,NL,1977,98,0,29%,3.8,162,646,91,192,33,115,9,38,0.297,0.335,0.498,0.834,,,,,,,,,,,,
7,Bruce Sutter,CHC,NL,1977,68,0,20%,6.5,62,20,4,3,0,0,0,2,0.15,0.227,0.15,0.377,7,3,1.34,0.857,62,0,31,107.1,69,5,23,129
8,Ron Cey,LAD,NL,1977,60,0,18%,3.5,153,564,77,136,30,110,3,93,0.241,0.347,0.45,0.797,,,,,,,,,,,,
9,Ted Simmons,STL,NL,1977,58,0,17%,5.2,150,516,82,164,21,95,2,79,0.318,0.408,0.5,0.908,,,,,,,,,,,,
1,Dave Parker,PIT,NL,1978,320,21,95%,7,148,581,102,194,30,117,20,57,0.334,0.394,0.585,0.979,,,,,,,,,,,,
2,Steve Garvey,LAD,NL,1978,194,0,58%,4.7,162,639,89,202,21,113,10,40,0.316,0.353,0.499,0.852,,,,,,,,,,,,
3,Larry Bowa,PHI,NL,1978,189,3,56%,5.8,156,654,78,192,3,43,27,24,0.294,0.319,0.37,0.689,,,,,,,,,,,,
4,Reggie Smith,LAD,NL,1978,164,0,49%,4.5,128,447,82,132,29,93,12,70,0.295,0.382,0.559,0.942,,,,,,,,,,,,
5,Jack Clark,SFG,NL,1978,107,0,32%,5.9,156,592,90,181,25,98,15,50,0.306,0.358,0.537,0.895,,,,,,,,,,,,
6,George Foster,CIN,NL,1978,104,0,31%,4.9,158,604,97,170,40,120,4,70,0.281,0.36,0.546,0.906,,,,,,,,,,,,
7,Greg Luzinski,PHI,NL,1978,48,0,14%,5.2,155,540,85,143,35,101,8,100,0.265,0.388,0.526,0.914,,,,,,,,,,,,
8,Gaylord Perry,SDP,NL,1978,45,0,13%,3.8,37,87,5,8,0,3,0,2,0.092,0.112,0.115,0.227,21,6,2.73,1.178,37,37,0,260.2,241,9,66,154
9,Willie Stargell,PIT,NL,1978,39,0,12%,3.1,122,390,60,115,28,97,3,50,0.295,0.382,0.567,0.949,,,,,,,,,,,,
1,Keith Hernandez,STL,NL,1979,216,4,64%,7.6,161,610,116,210,11,105,11,80,0.344,0.417,0.513,0.93,,,,,,,,,,,,
1,Willie Stargell,PIT,NL,1979,216,10,64%,2.5,126,424,60,119,32,82,0,47,0.281,0.352,0.552,0.904,,,,,,,,,,,,
3,Dave Winfield,SDP,NL,1979,155,4,46%,8.3,159,597,97,184,34,118,15,85,0.308,0.395,0.558,0.953,,,,,,,,,,,,
4,Larry Parrish,MON,NL,1979,128,0,38%,4.6,153,544,83,167,30,82,5,41,0.307,0.357,0.551,0.909,,,,,,,,,,,,
5,Ray Knight,CIN,NL,1979,82,2,24%,3.1,150,551,64,175,10,79,4,38,0.318,0.36,0.454,0.814,,,,,,,,,,,,
6,Joe Niekro,HOU,NL,1979,75,1,22%,3.2,38,83,1,10,0,4,0,2,0.12,0.14,0.145,0.284,21,11,3,1.244,38,38,0,263.2,221,17,107,119
7,Bruce Sutter,CHC,NL,1979,69,0,21%,5.1,62,12,0,3,0,3,1,1,0.25,0.308,0.25,0.558,6,6,2.22,0.977,62,0,37,101.1,67,3,32,110
8,Kent Tekulve,PIT,NL,1979,64,1,19%,3.2,94,15,3,2,0,1,0,1,0.133,0.188,0.133,0.321,10,8,2.75,1.176,94,0,31,134.1,109,5,49,75
9,Dave Concepción,CIN,NL,1979,63,0,19%,4.9,149,590,91,166,16,84,19,64,0.281,0.348,0.415,0.764,,,,,,,,,,,,
1,Mike Schmidt,PHI,NL,1980,336,24,100%,8.9,150,548,104,157,48,121,12,89,0.286,0.38,0.624,1.004,,,,,,,,,,,,
2,Gary Carter,MON,NL,1980,193,0,57%,6.5,154,549,76,145,29,101,3,58,0.264,0.331,0.486,0.818,,,,,,,,,,,,
3,José Cruz,HOU,NL,1980,166,0,49%,4.8,160,612,79,185,11,91,36,60,0.302,0.36,0.426,0.787,,,,,,,,,,,,
4,Dusty Baker,LAD,NL,1980,138,0,41%,4.6,153,579,80,170,29,97,12,43,0.294,0.339,0.503,0.842,,,,,,,,,,,,
5,Steve Carlton,PHI,NL,1980,134,0,40%,10.1,38,101,7,19,0,6,0,1,0.188,0.19,0.198,0.388,24,9,2.34,1.095,38,38,0,304,243,15,90,286
6,Steve Garvey,LAD,NL,1980,131,0,39%,3,163,658,78,200,26,106,6,36,0.304,0.341,0.467,0.808,,,,,,,,,,,,
7,Andre Dawson,MON,NL,1980,72,0,21%,6.9,151,577,96,178,17,87,34,44,0.308,0.358,0.492,0.85,,,,,,,,,,,,
8,George Hendrick,STL,NL,1980,50,0,15%,3.9,150,572,73,173,25,109,6,32,0.302,0.342,0.498,0.84,,,,,,,,,,,,
9,Bob Horner,ATL,NL,1980,42,0,13%,4.4,124,463,81,124,35,89,3,27,0.268,0.307,0.529,0.836,,,,,,,,,,,,
1,Mike Schmidt,PHI,NL,1981,321,21,96%,7.7,102,354,78,112,31,91,12,73,0.316,0.435,0.644,1.08,,,,,,,,,,,,
2,Andre Dawson,MON,NL,1981,215,2,64%,7.5,103,394,71,119,24,64,26,35,0.302,0.365,0.553,0.918,,,,,,,,,,,,
3,George Foster,CIN,NL,1981,146,0,43%,3.7,108,414,64,122,22,90,4,51,0.295,0.373,0.519,0.892,,,,,,,,,,,,
4,Dave Concepción,CIN,NL,1981,108,0,32%,3.7,106,421,57,129,5,67,4,37,0.306,0.358,0.409,0.767,,,,,,,,,,,,
5,Fernando Valenzuela,LAD,NL,1981,90,1,27%,5.3,25,64,3,16,0,7,0,1,0.25,0.262,0.281,0.543,13,7,2.48,1.045,25,25,0,192.1,140,11,61,180
6,Gary Carter,MON,NL,1981,77,0,23%,3.8,100,374,48,94,16,68,1,35,0.251,0.313,0.444,0.756,,,,,,,,,,,,
7,Dusty Baker,LAD,NL,1981,65,0,19%,2.8,103,400,48,128,9,49,10,29,0.32,0.363,0.445,0.808,,,,,,,,,,,,
8,Bruce Sutter,STL,NL,1981,59,0,18%,1.5,48,9,0,0,0,1,0,0,0,0.1,0,0.1,3,5,2.62,1.069,48,0,25,82.1,64,5,24,57
9,Steve Carlton,PHI,NL,1981,41,0,12%,5.5,24,67,5,9,0,4,0,2,0.134,0.159,0.224,0.383,13,4,2.42,1.126,24,24,0,190,152,9,62,179
1,Dale Murphy,ATL,NL,1982,283,14,84%,6.1,162,598,113,168,36,109,23,93,0.281,0.378,0.507,0.885,,,,,,,,,,,,
2,Lonnie Smith,STL,NL,1982,218,8,65%,6.2,156,592,120,182,8,69,68,64,0.307,0.381,0.434,0.815,,,,,,,,,,,,
3,Pedro Guerrero,LAD,NL,1982,175,0,52%,6.8,150,575,87,175,32,100,22,65,0.304,0.378,0.536,0.914,,,,,,,,,,,,
3,Al Oliver,MON,NL,1982,175,0,52%,5.2,160,617,90,204,22,109,5,61,0.331,0.392,0.514,0.906,,,,,,,,,,,,
5,Bruce Sutter,STL,NL,1982,134,2,40%,1,70,8,1,1,0,1,0,0,0.125,0.111,0.125,0.236,9,8,2.9,1.192,70,0,36,102.1,88,8,34,61
6,Mike Schmidt,PHI,NL,1982,54,0,16%,7.4,148,514,108,144,35,87,14,107,0.28,0.403,0.547,0.949,,,,,,,,,,,,
7,Jack Clark,SFG,NL,1982,53,0,16%,4,157,563,90,154,27,103,6,90,0.274,0.372,0.481,0.853,,,,,,,,,,,,
8,Greg Minton,SFG,NL,1982,44,0,13%,5.5,78,17,2,3,0,1,0,0,0.176,0.167,0.235,0.402,10,4,1.83,1.22,78,0,30,123,108,5,42,58
9,Steve Carlton,PHI,NL,1982,41,0,12%,6.1,38,101,8,22,2,8,0,0,0.218,0.218,0.317,0.535,23,11,3.1,1.147,38,38,0,295.2,253,17,86,286
1,Dale Murphy,ATL,NL,1983,318,21,95%,7.1,162,589,131,178,36,121,30,90,0.302,0.393,0.54,0.933,,,,,,,,,,,,
2,Andre Dawson,MON,NL,1983,213,1,63%,6.9,159,633,104,189,32,113,25,38,0.299,0.338,0.539,0.877,,,,,,,,,,,,
3,Mike Schmidt,PHI,NL,1983,191,1,57%,6.9,154,534,104,136,40,109,7,128,0.255,0.399,0.524,0.923,,,,,,,,,,,,
4,Pedro Guerrero,LAD,NL,1983,182,1,54%,5.5,160,584,87,174,32,103,23,72,0.298,0.373,0.531,0.904,,,,,,,,,,,,
5,Tim Raines,MON,NL,1983,83,0,25%,6,156,615,133,183,11,71,90,97,0.298,0.393,0.429,0.822,,,,,,,,,,,,
6,José Cruz,HOU,NL,1983,76,0,23%,6.2,160,594,85,189,14,92,30,65,0.318,0.385,0.463,0.848,,,,,,,,,,,,
7,Dickie Thon,HOU,NL,1983,67,0,20%,7.4,154,619,81,177,20,79,34,54,0.286,0.341,0.457,0.798,,,,,,,,,,,,
8,Bill Madlock,PIT,NL,1983,45,0,13%,2.4,130,473,68,153,12,68,3,49,0.323,0.386,0.444,0.83,,,,,,,,,,,,
9,Al Holland,PHI,NL,1983,42,0,13%,3.2,68,7,0,0,0,0,0,0,0,0,0,0,8,4,2.26,1.015,68,0,25,91.2,63,8,30,100
1,Ryne Sandberg,CHC,NL,1984,326,22,97%,8.5,156,636,114,200,19,84,32,52,0.314,0.367,0.52,0.887,,,,,,,,,,,,
2,Keith Hernandez,NYM,NL,1984,195,1,58%,6.3,154,550,83,171,15,94,2,97,0.311,0.409,0.449,0.859,,,,,,,,,,,,
3,Tony Gwynn,SDP,NL,1984,184,1,55%,6.3,158,606,88,213,5,71,33,59,0.351,0.41,0.444,0.853,,,,,,,,,,,,
4,Rick Sutcliffe,CHC,NL,1984,151,0,45%,4.2,20,56,3,14,0,6,0,2,0.25,0.276,0.304,0.579,16,1,2.69,1.078,20,20,0,150.1,123,9,39,155
5,Gary Matthews,CHC,NL,1984,70,0,21%,3.2,147,491,101,143,14,82,17,103,0.291,0.41,0.428,0.838,,,,,,,,,,,,
6,Bruce Sutter,STL,NL,1984,67,0,20%,4.3,71,10,0,0,0,0,0,0,0,0,0,0,5,7,1.54,1.076,71,0,45,122.2,109,9,23,77
7,Mike Schmidt,PHI,NL,1984,55,0,16%,7,151,528,93,146,36,106,5,92,0.277,0.383,0.536,0.919,,,,,,,,,,,,
8,José Cruz,HOU,NL,1984,53,0,16%,6.3,160,600,96,187,12,95,22,73,0.312,0.381,0.462,0.842,,,,,,,,,,,,
9,Dale Murphy,ATL,NL,1984,52,0,15%,5.5,162,607,94,176,36,100,19,79,0.29,0.372,0.547,0.919,,,,,,,,,,,,
1,Willie McGee,STL,NL,1985,280,14,83%,8.2,152,612,114,216,10,82,56,34,0.353,0.384,0.503,0.887,,,,,,,,,,,,
2,Dave Parker,CIN,NL,1985,220,6,65%,4.7,160,635,88,198,34,125,5,52,0.312,0.365,0.551,0.916,,,,,,,,,,,,
3,Pedro Guerrero,LAD,NL,1985,208,3,62%,8,137,487,99,156,33,87,12,83,0.32,0.422,0.577,0.999,,,,,,,,,,,,
4,Dwight Gooden,NYM,NL,1985,162,1,48%,13.3,35,93,11,21,1,9,0,5,0.226,0.265,0.28,0.545,24,4,1.53,0.965,35,35,0,276.2,198,13,69,268
5,Tom Herr,STL,NL,1985,119,0,35%,5.6,159,596,97,180,8,110,31,80,0.302,0.379,0.416,0.795,,,,,,,,,,,,
6,Gary Carter,NYM,NL,1985,116,0,35%,6.9,149,555,83,156,32,100,1,69,0.281,0.365,0.488,0.853,,,,,,,,,,,,
7,Dale Murphy,ATL,NL,1985,63,0,19%,5,162,616,118,185,37,111,10,90,0.3,0.388,0.539,0.927,,,,,,,,,,,,
8,Keith Hernandez,NYM,NL,1985,61,0,18%,5,158,593,87,183,10,91,3,77,0.309,0.384,0.43,0.814,,,,,,,,,,,,
8,John Tudor,STL,NL,1985,61,0,18%,8.2,37,94,9,13,0,2,0,5,0.138,0.182,0.213,0.395,21,8,1.93,0.938,36,36,0,275,209,14,49,169
1,Mike Schmidt,PHI,NL,1986,287,15,85%,6.1,160,552,97,160,37,119,1,89,0.29,0.39,0.547,0.937,,,,,,,,,,,,
2,Glenn Davis,HOU,NL,1986,231,6,69%,4.5,158,574,91,152,31,101,3,64,0.265,0.344,0.493,0.837,,,,,,,,,,,,
3,Gary Carter,NYM,NL,1986,181,1,54%,3.6,132,490,81,125,24,105,1,62,0.255,0.337,0.439,0.776,,,,,,,,,,,,
4,Keith Hernandez,NYM,NL,1986,179,2,53%,5.5,149,551,94,171,13,83,2,94,0.31,0.413,0.446,0.859,,,,,,,,,,,,
5,Dave Parker,CIN,NL,1986,144,0,43%,0.3,162,637,89,174,31,116,1,56,0.273,0.33,0.477,0.807,,,,,,,,,,,,
6,Tim Raines,MON,NL,1986,99,0,29%,5.5,151,580,91,194,9,62,70,78,0.334,0.413,0.476,0.889,,,,,,,,,,,,
7,Kevin Bass,HOU,NL,1986,73,0,22%,5.2,157,591,83,184,20,79,22,38,0.311,0.357,0.486,0.842,,,,,,,,,,,,
8,Von Hayes,PHI,NL,1986,41,0,12%,5,158,610,107,186,19,98,24,74,0.305,0.379,0.48,0.859,,,,,,,,,,,,
9,Tony Gwynn,SDP,NL,1986,34,0,10%,6.7,160,642,107,211,14,59,37,52,0.329,0.381,0.467,0.848,,,,,,,,,,,,
1,Andre Dawson,CHC,NL,1987,269,11,80%,4,153,621,90,178,49,137,11,32,0.287,0.328,0.568,0.896,,,,,,,,,,,,
2,Ozzie Smith,STL,NL,1987,193,9,57%,6.4,158,600,104,182,0,75,43,89,0.303,0.392,0.383,0.775,,,,,,,,,,,,
3,Jack Clark,STL,NL,1987,186,3,55%,5.4,131,419,93,120,35,106,1,136,0.286,0.459,0.597,1.055,,,,,,,,,,,,
4,Tim Wallach,MON,NL,1987,165,1,49%,4.3,153,593,89,177,26,123,9,37,0.298,0.343,0.514,0.858,0,0,0,1,1,0,0,1,1,0,0,0
5,Will Clark,SFG,NL,1987,128,0,38%,4.2,150,529,89,163,35,91,5,49,0.308,0.371,0.58,0.951,,,,,,,,,,,,
6,Darryl Strawberry,NYM,NL,1987,95,0,28%,6.4,154,532,108,151,39,104,36,97,0.284,0.398,0.583,0.981,,,,,,,,,,,,
7,Tim Raines,MON,NL,1987,80,0,24%,6.7,139,530,123,175,18,68,50,90,0.33,0.429,0.526,0.955,,,,,,,,,,,,
8,Tony Gwynn,SDP,NL,1987,75,0,22%,8.6,157,589,119,218,7,54,56,82,0.37,0.447,0.511,0.958,,,,,,,,,,,,
9,Eric Davis,CIN,NL,1987,73,0,22%,7.9,129,474,120,139,37,100,50,84,0.293,0.399,0.593,0.991,,,,,,,,,,,,
1,Kirk Gibson,LAD,NL,1988,272,13,81%,6.5,150,542,106,157,25,76,31,73,0.29,0.377,0.483,0.86,,,,,,,,,,,,
2,Darryl Strawberry,NYM,NL,1988,236,7,70%,5.4,153,543,101,146,39,101,29,85,0.269,0.366,0.545,0.911,,,,,,,,,,,,
3,Kevin McReynolds,NYM,NL,1988,162,4,48%,4.5,147,552,82,159,27,99,21,38,0.288,0.336,0.496,0.832,,,,,,,,,,,,
4,Andy Van Slyke,PIT,NL,1988,160,0,48%,6.5,154,587,101,169,25,100,30,57,0.288,0.345,0.506,0.851,,,,,,,,,,,,
5,Will Clark,SFG,NL,1988,135,0,40%,6.7,162,575,102,162,29,109,9,100,0.282,0.386,0.508,0.894,,,,,,,,,,,,
6,Orel Hershiser,LAD,NL,1988,111,0,33%,7.1,36,85,1,11,0,6,0,1,0.129,0.14,0.176,0.316,23,8,2.26,1.052,35,34,1,267,208,18,73,178
7,Andrés Galarraga,MON,NL,1988,105,0,31%,5.7,157,609,99,184,29,92,13,39,0.302,0.352,0.54,0.893,,,,,,,,,,,,
8,Glenn Davis,HOU,NL,1988,72,0,21%,4.3,152,561,78,152,30,99,4,53,0.271,0.341,0.478,0.818,,,,,,,,,,,,
9,Danny Jackson,CIN,NL,1988,41,0,12%,5.1,35,90,11,13,0,6,0,2,0.144,0.161,0.178,0.339,23,8,2.73,1.063,35,35,0,260.2,206,13,71,161
1,Kevin Mitchell,SFG,NL,1989,314,20,93%,6.9,154,543,100,158,47,125,3,87,0.291,0.388,0.635,1.023,,,,,,,,,,,,
2,Will Clark,SFG,NL,1989,225,3,67%,8.6,159,588,104,196,23,111,8,74,0.333,0.407,0.546,0.953,,,,,,,,,,,,
3,Pedro Guerrero,STL,NL,1989,190,1,57%,1.9,162,570,60,177,17,117,2,79,0.311,0.391,0.477,0.868,,,,,,,,,,,,
4,Ryne Sandberg,CHC,NL,1989,157,0,47%,6.1,157,606,104,176,30,76,15,59,0.29,0.356,0.497,0.853,,,,,,,,,,,,
5,Howard Johnson,NYM,NL,1989,153,0,46%,6.9,153,571,104,164,36,101,41,77,0.287,0.369,0.559,0.928,,,,,,,,,,,,
6,Mark Davis,SDP,NL,1989,76,0,23%,4.2,70,13,0,0,0,0,0,0,0,0,0,0,4,3,1.85,1.047,70,0,44,92.2,66,6,31,92
7,Glenn Davis,HOU,NL,1989,64,0,19%,4.4,158,581,87,156,34,89,4,69,0.269,0.35,0.492,0.842,,,,,,,,,,,,
8,Tony Gwynn,SDP,NL,1989,57,0,17%,2.5,158,604,82,203,4,62,40,56,0.336,0.389,0.424,0.813,,,,,,,,,,,,
9,Eric Davis,CIN,NL,1989,44,0,13%,2.9,131,462,74,130,34,101,21,68,0.281,0.367,0.541,0.908,,,,,,,,,,,,
1,Barry Bonds,PIT,NL,1990,331,23,99%,9.7,151,519,104,156,33,114,52,93,0.301,0.406,0.565,0.97,,,,,,,,,,,,
2,Bobby Bonilla,PIT,NL,1990,212,1,63%,4,160,625,112,175,32,120,4,45,0.28,0.322,0.518,0.841,,,,,,,,,,,,
3,Darryl Strawberry,NYM,NL,1990,167,0,50%,6.3,152,542,92,150,37,108,15,70,0.277,0.361,0.518,0.879,,,,,,,,,,,,
4,Ryne Sandberg,CHC,NL,1990,151,0,45%,7.1,155,615,116,188,40,100,25,50,0.306,0.354,0.559,0.913,,,,,,,,,,,,
5,Eddie Murray,LAD,NL,1990,123,0,37%,5.2,155,558,96,184,26,95,8,82,0.33,0.414,0.52,0.934,,,,,,,,,,,,
6,Matt Williams,SFG,NL,1990,95,0,28%,5,159,617,87,171,33,122,7,33,0.277,0.319,0.488,0.807,,,,,,,,,,,,
7,Barry Larkin,CIN,NL,1990,82,0,24%,5.7,158,614,85,185,7,67,30,49,0.301,0.358,0.396,0.753,,,,,,,,,,,,
8,Doug Drabek,PIT,NL,1990,59,0,18%,5,33,84,8,18,1,6,0,4,0.214,0.258,0.274,0.532,22,6,2.76,1.063,33,33,0,231.1,190,15,56,131
9,Lenny Dykstra,PHI,NL,1990,41,0,12%,8.9,149,590,106,192,9,60,33,89,0.325,0.418,0.441,0.859,,,,,,,,,,,,
1,Terry Pendleton,ATL,NL,1991,274,12,82%,6.1,153,586,94,187,22,86,10,43,0.319,0.363,0.517,0.88,,,,,,,,,,,,
2,Barry Bonds,PIT,NL,1991,259,10,77%,8,153,510,95,149,25,116,43,107,0.292,0.41,0.514,0.924,,,,,,,,,,,,
3,Bobby Bonilla,PIT,NL,1991,191,1,57%,3.9,157,577,102,174,18,100,2,90,0.302,0.391,0.492,0.883,,,,,,,,,,,,
4,Will Clark,SFG,NL,1991,118,0,35%,5.2,148,565,84,170,29,116,4,51,0.301,0.359,0.536,0.895,,,,,,,,,,,,
5,Howard Johnson,NYM,NL,1991,112,0,33%,3.5,156,564,108,146,38,117,30,78,0.259,0.342,0.535,0.877,,,,,,,,,,,,
6,Ron Gant,ATL,NL,1991,110,0,33%,2,154,561,101,141,32,105,34,71,0.251,0.338,0.496,0.834,,,,,,,,,,,,
7,Brett Butler,LAD,NL,1991,103,1,31%,5.1,161,615,112,182,2,38,38,108,0.296,0.401,0.343,0.744,,,,,,,,,,,,
8,Lee Smith,STL,NL,1991,89,0,26%,2.3,67,0,0,0,0,0,0,0,,,,,6,3,2.34,1.137,67,0,47,73,70,5,13,67
9,Darryl Strawberry,LAD,NL,1991,76,0,23%,3.7,139,505,86,134,28,99,10,75,0.265,0.361,0.491,0.852,,,,,,,,,,,,
1,Barry Bonds,PIT,NL,1992,304,18,90%,9,140,473,109,147,34,103,39,127,0.311,0.456,0.624,1.08,,,,,,,,,,,,
2,Terry Pendleton,ATL,NL,1992,232,4,69%,5,160,640,98,199,21,105,5,37,0.311,0.345,0.473,0.818,,,,,,,,,,,,
