Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
4,J.D. Martinez,BOS,AL,2018,198,1,47%,6.7,150,569,111,188,43,130,6,69,0.33,0.402,0.629,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Alex Bregman,HOU,AL,2018,192,0,46%,7.9,157,594,105,170,31,103,10,96,0.286,0.394,0.532,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Francisco Lindor,CLE,AL,2018,169,0,40%,7.2,158,661,129,183,38,92,25,70,0.277,0.352,0.519,0.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Matt Chapman,OAK,AL,2018,141,0,34%,7.6,145,547,100,152,24,68,1,58,0.278,0.356,0.508,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Khris Davis,OAK,AL,2018,41,0,10%,2.9,151,576,98,142,48,123,0,59,0.247,0.326,0.549,0.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Blake Snell,TBR,AL,2018,38,0,9%,7.2,1,1,0,0,0,0,0,1,0,0.667,0,0.667,21,5,1.89,0.974,31,31,0,180.2,112,16,64,221
1,Mike Trout,LAA,AL,2019,355,17,85%,7.9,134,470,110,137,45,104,11,110,0.291,0.438,0.645,1.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Alex Bregman,HOU,AL,2019,335,13,80%,8.9,156,554,122,164,41,112,5,119,0.296,0.423,0.592,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Marcus Semien,OAK,AL,2019,228,0,54%,8.5,162,657,123,187,33,92,10,87,0.285,0.369,0.522,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,DJ LeMahieu,NYY,AL,2019,178,0,42%,5.6,145,602,109,197,26,102,5,46,0.327,0.375,0.518,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Xander Bogaerts,BOS,AL,2019,147,0,35%,6.3,155,614,110,190,33,117,4,76,0.309,0.384,0.555,0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Matt Chapman,OAK,AL,2019,89,0,21%,7.8,156,583,102,145,36,91,1,73,0.249,0.342,0.506,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,George Springer,HOU,AL,2019,69,0,16%,6.4,122,479,96,140,39,96,6,67,0.292,0.383,0.591,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Mookie Betts,BOS,AL,2019,67,0,16%,7.3,150,597,135,176,29,80,16,97,0.295,0.391,0.524,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Nelson Cruz,MIN,AL,2019,62,0,15%,4.4,120,454,81,141,41,108,0,56,0.311,0.392,0.639,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,José Abreu,CHW,AL,2020,374,21,89%,3,60,240,43,76,19,60,0,18,0.317,0.37,0.617,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,José Ramírez,CLE,AL,2020,303,8,72%,2.5,58,219,45,64,17,46,10,31,0.292,0.386,0.607,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,DJ LeMahieu,NYY,AL,2020,230,1,55%,3,50,195,41,71,10,27,3,18,0.364,0.421,0.59,1.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Shane Bieber,CLE,AL,2020,173,0,41%,3.2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,1,1.63,0.866,12,12,0,77.1,46,7,21,122
5,Mike Trout,LAA,AL,2020,172,0,41%,1.8,53,199,41,56,17,46,1,35,0.281,0.39,0.603,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Nelson Cruz,MIN,AL,2020,128,0,30%,1.9,53,185,33,56,16,33,0,25,0.303,0.397,0.595,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Tim Anderson,CHW,AL,2020,125,0,30%,2.3,49,208,45,67,10,21,5,10,0.322,0.357,0.529,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Brandon Lowe,TBR,AL,2020,104,0,25%,2.4,56,193,36,52,14,37,3,25,0.269,0.362,0.554,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Luke Voit,NYY,AL,2020,85,0,20%,1.7,56,213,41,59,22,52,0,17,0.277,0.338,0.61,0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Shohei Ohtani,LAA,AL,2021,420,30,100%,8.9,155,537,103,138,46,100,26,96,0.257,0.372,0.592,0.965,9,2,3.18,1.09,23,23,0,130.1,98,15,44,156
2,Vladimir Guerrero Jr.,TOR,AL,2021,269,0,64%,6.7,161,604,123,188,48,111,4,86,0.311,0.401,0.601,1.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Marcus Semien,TOR,AL,2021,232,0,55%,7.1,162,652,115,173,45,102,15,66,0.265,0.334,0.538,0.873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Aaron Judge,NYY,AL,2021,171,0,41%,6.1,148,550,89,158,39,98,6,75,0.287,0.373,0.544,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Carlos Correa,HOU,AL,2021,163,0,39%,7.2,148,555,104,155,26,92,0,75,0.279,0.366,0.485,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,José Ramírez,CLE,AL,2021,133,0,32%,6.8,152,552,111,147,36,103,27,72,0.266,0.355,0.538,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Salvador Perez,KCR,AL,2021,103,0,25%,5.5,161,620,88,169,48,121,1,28,0.273,0.316,0.544,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Matt Olson,OAK,AL,2021,90,0,21%,5.8,156,565,101,153,39,111,4,88,0.271,0.371,0.54,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Cedric Mullins,BAL,AL,2021,87,0,21%,5.9,159,602,91,175,30,59,30,59,0.291,0.36,0.518,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Aaron Judge,NYY,AL,2022,410,28,98%,10.5,157,570,133,177,62,131,16,111,0.311,0.425,0.686,1.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Shohei Ohtani,LAA,AL,2022,280,2,67%,9.6,157,586,90,160,34,95,11,72,0.273,0.356,0.519,0.875,15,9,2.33,1.012,28,28,0,166,124,14,44,219
3,Yordan Alvarez,HOU,AL,2022,232,0,55%,6.8,135,470,95,144,37,97,1,78,0.306,0.406,0.613,1.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,José Ramírez,CLE,AL,2022,186,0,44%,6,157,601,90,168,29,126,20,69,0.28,0.355,0.514,0.869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Jose Altuve,HOU,AL,2022,142,0,34%,5.2,141,527,103,158,28,57,18,66,0.3,0.387,0.533,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Andrés Giménez,CLE,AL,2022,141,0,34%,7.4,146,491,66,146,17,69,20,34,0.297,0.371,0.466,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Julio Rodríguez,SEA,AL,2022,108,0,26%,6.2,132,511,84,145,28,75,25,40,0.284,0.345,0.509,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Mike Trout,LAA,AL,2022,90,0,21%,6.2,119,438,85,124,40,80,1,54,0.283,0.369,0.63,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Xander Bogaerts,BOS,AL,2022,50,0,12%,5.9,150,557,84,171,15,73,8,57,0.307,0.377,0.456,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
